Line,lo_1,e_1,null_1,null_2,FLOWER_1,FLOWER_2,li_1,l_1,o_1,i_1,i_2,null_3,null_4,FLOWER_3,uno_1,un_1,null_5,null_6,la_1,a_1,null_7,null_8,KEY_1,KEY_2,le_1,e_2,null_9,null_10,KEY_3,una_1,SHIP_1,SHIP_2,SHIP_3,SHELF_1,SHELF_2,SHELF_3,a_2,null_11,BALL_1,BALL_2,e_3,null_12,BALL_3,FROG_1,FROG_2,FROG_3,ANCHOR_1,ANCHOR_2,ANCHOR_3,POTATO_1,POTATO_2,POTATO_3,o_2,null_13,BOOK_1,BOOK_2,BOOK_3,MOUSE_1,MOUSE_2,MOUSE_3,CASTLE_1,CASTLE_2,CASTLE_3,TOMATO_1,TOMATO_2,TOMATO_3
0,10.1,10.1,10.0,10.0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.1,10.1,10.0,10.0,10.0,10.0,10.0,10.1,10.1,10.1,9.9,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.1,10.2,10.0,10.0,10.0,10.1,10.0,10.299999999999999,10.299999999999999,10.1,9.9,10.0,10.0,10.0,10.1,10.2,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10.1,10.1,10.0,10.0,10.0,10.1,10.0,10.599999999999998,10.299999999999999,10.299999999999999,9.9,9.9,10.0,10.0,10.1,10.2,10.0,10.0,10.0,10.1,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.1,10.1,10.0,10.0,10.0,10.1,10.0,11.099999999999996,10.499999999999998,10.2,9.8,9.8,10.0,10.0,10.1,10.2,10.0,10.0,10.0,10.299999999999999,10.0,10.0,9.9,9.9,10.0,10.299999999999999,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.1,10.2,10.0,10.0,10.0,10.1,10.0,11.299999999999995,10.499999999999998,10.2,9.8,9.8,10.0,10.0,10.1,10.599999999999998,10.0,10.0,10.0,10.499999999999998,10.0,10.0,10.0,9.9,10.0,10.299999999999999,10.0,10.0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10.0,10.1,10.0,10.0,10.0,10.1,10.0,12.099999999999993,10.499999999999998,10.399999999999999,9.8,9.8,10.0,10.0,10.1,10.799999999999997,10.0,10.0,10.0,11.099999999999996,9.9,10.0,10.0,9.9,10.0,10.499999999999998,10.0,10.0,10.0,10.1,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.0,10.1,10.0,10.0,10.0,10.1,10.0,12.79999999999999,10.699999999999998,10.399999999999999,9.9,9.8,10.0,10.0,10.1,10.799999999999997,10.0,10.0,10.0,11.299999999999995,9.9,10.0,10.0,9.9,10.0,10.999999999999996,10.0,10.1,10.0,10.1,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10.0,10.2,10.0,10.0,10.0,10.1,10.0,12.99999999999999,10.699999999999998,10.399999999999999,9.9,9.8,10.0,10.0,10.1,11.199999999999996,10.0,10.1,10.0,11.499999999999995,9.9,10.0,10.0,9.9,10.0,10.999999999999996,10.0,10.1,10.0,10.2,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.1,10.299999999999999,10.0,10.0,10.0,10.1,10.0,13.799999999999986,11.299999999999995,10.599999999999998,9.9,9.8,10.0,10.0,10.1,11.399999999999995,10.0,10.1,10.0,11.499999999999995,9.9,10.1,10.0,9.9,10.0,11.199999999999996,10.0,10.1,10.0,10.2,10.0,10.1,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.1,10.299999999999999,10.0,10.0,10.0,10.1,10.1,14.399999999999984,11.499999999999995,10.999999999999996,10.0,9.8,10.0,10.0,10.1,11.399999999999995,10.0,10.1,10.0,11.699999999999994,9.9,10.1,10.0,9.9,10.0,11.199999999999996,10.0,10.1,10.0,10.2,10.0,10.1,10.0,10.2,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10.1,10.2,10.0,10.0,10.0,10.1,10.1,14.599999999999984,11.699999999999994,10.999999999999996,10.0,9.8,10.0,10.0,10.1,11.699999999999994,10.0,10.1,10.0,11.599999999999994,9.8,10.1,10.0,9.9,10.0,11.199999999999996,10.0,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10.1,10.1,10.0,10.0,10.0,10.1,10.1,15.39999999999998,11.699999999999994,11.199999999999996,10.0,9.8,9.9,10.0,10.1,11.899999999999993,10.0,10.1,9.9,12.199999999999992,9.8,10.1,10.0,9.9,10.0,11.399999999999995,10.0,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10.1,10.1,10.0,10.0,10.0,10.1,10.1,15.899999999999979,11.899999999999993,11.199999999999996,10.0,9.8,9.9,10.0,10.1,11.899999999999993,10.0,10.1,9.9,12.399999999999991,9.8,10.1,10.0,9.9,10.0,11.799999999999994,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.9,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
14,10.1,10.1,10.0,10.0,10.0,10.1,10.1,16.09999999999998,11.899999999999993,11.199999999999996,10.0,9.8,9.9,10.0,10.1,12.199999999999992,10.0,10.1,9.9,12.59999999999999,9.8,10.1,10.0,9.9,10.0,11.799999999999994,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.9,10.0,9.9,9.8,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
15,10.1,10.1,10.0,10.0,10.0,10.1,10.1,16.89999999999999,11.899999999999993,11.399999999999995,10.0,9.8,10.0,10.0,10.1,12.399999999999991,10.0,10.1,10.0,13.199999999999989,9.8,10.1,10.0,9.9,10.0,11.999999999999993,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.9,10.0,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,
16,10.1,10.1,10.0,10.0,10.0,10.1,10.0,17.5,12.099999999999993,11.399999999999995,10.0,9.700000000000001,10.0,10.0,10.1,12.399999999999991,10.0,10.1,10.0,13.399999999999988,9.8,10.1,10.0,9.9,10.0,12.399999999999991,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.8,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,
17,10.1,10.0,10.0,10.0,10.0,10.1,10.0,17.700000000000003,12.099999999999993,11.399999999999995,10.0,9.700000000000001,9.9,10.0,10.1,12.69999999999999,10.0,10.1,10.0,13.599999999999987,9.8,10.1,10.0,9.9,10.0,12.399999999999991,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.8,10.0,10.0,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,
18,10.1,9.9,10.0,10.0,10.0,10.1,10.0,18.400000000000013,11.999999999999993,11.599999999999994,10.0,9.700000000000001,9.9,10.0,10.1,12.89999999999999,9.9,10.1,10.0,14.199999999999985,9.8,10.1,10.0,9.9,10.0,12.59999999999999,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.8,10.0,10.0,9.9,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,
19,10.1,9.9,10.0,10.0,10.0,10.1,10.0,18.90000000000002,12.199999999999992,11.599999999999994,10.0,9.700000000000001,9.9,10.0,10.1,12.89999999999999,9.9,10.0,10.0,14.399999999999984,9.8,10.1,10.0,9.9,10.0,12.99999999999999,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.700000000000001,10.0,10.0,9.9,10.0,10.0,9.9,10.0,9.9,,,,,,,,,,,,,,,,,
20,10.1,9.9,10.0,10.0,10.0,10.1,10.0,19.100000000000023,12.199999999999992,11.599999999999994,10.0,9.700000000000001,9.9,10.0,10.0,13.299999999999988,9.9,10.0,10.0,14.599999999999984,9.8,10.1,10.0,9.9,10.0,12.99999999999999,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.9,10.0,9.9,9.8,9.700000000000001,10.0,10.0,9.9,10.0,10.0,9.8,10.0,9.9,,,,,,,,,,,,,,,,,
21,10.1,9.9,10.0,10.0,10.0,10.1,10.0,20.000000000000036,12.199999999999992,11.799999999999994,10.0,9.700000000000001,9.9,10.0,10.0,13.499999999999988,9.9,10.0,10.0,15.299999999999981,9.9,10.1,10.0,9.9,10.0,13.199999999999989,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.700000000000001,10.0,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.1,10.0,,,,,,,,,,,,,,,
22,10.1,9.9,10.0,10.0,10.0,10.1,10.0,20.500000000000043,12.399999999999991,11.799999999999994,10.0,9.700000000000001,9.9,10.0,10.0,13.499999999999988,9.9,10.0,10.0,15.49999999999998,9.9,10.1,10.0,9.9,10.0,13.599999999999987,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,9.9,9.9,9.8,9.600000000000001,10.0,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,10.0,10.0,,,,,,,,,,,,,,
23,10.1,9.8,10.0,10.0,10.0,10.1,10.0,20.700000000000045,12.299999999999992,11.799999999999994,10.0,9.700000000000001,9.9,10.0,10.0,13.799999999999986,9.9,9.9,10.0,15.69999999999998,9.9,10.1,10.0,9.9,10.0,13.599999999999987,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,9.9,9.9,9.8,9.600000000000001,10.0,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,,,,,,,,,,,,,,
24,10.1,9.8,10.0,10.0,10.0,10.1,10.0,21.400000000000055,12.89999999999999,11.999999999999993,10.0,9.700000000000001,9.9,10.0,10.0,13.999999999999986,9.9,9.9,10.0,15.69999999999998,9.9,10.1,10.0,9.9,10.0,13.799999999999986,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,9.9,9.9,9.8,9.600000000000001,10.0,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.9,10.0,10.0,9.9,,,,,,,,,,
25,10.1,9.8,10.0,10.0,10.0,10.1,10.0,21.900000000000063,13.099999999999989,12.399999999999991,10.0,9.700000000000001,9.9,10.0,10.0,13.999999999999986,9.9,9.9,10.0,15.899999999999979,9.9,10.1,10.0,9.9,10.0,13.699999999999987,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,9.9,9.9,9.8,9.500000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.9,10.0,10.0,9.9,9.9,,,,,,,,,
26,10.1,9.700000000000001,10.0,9.9,10.0,10.1,10.0,22.100000000000065,13.299999999999988,12.399999999999991,10.0,9.700000000000001,9.9,10.0,9.9,14.399999999999984,9.9,9.9,10.0,15.899999999999979,9.9,10.1,10.0,9.9,10.0,13.699999999999987,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,9.9,9.9,9.8,9.500000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.9,10.0,10.0,9.8,9.9,,,,,,,,,
27,10.1,9.700000000000001,10.0,9.9,10.0,10.1,10.0,22.800000000000075,13.899999999999986,12.59999999999999,10.0,9.700000000000001,9.9,10.0,9.9,14.599999999999984,9.9,9.9,10.0,15.79999999999998,9.9,10.1,10.0,9.9,10.0,13.899999999999986,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.9,9.8,9.9,9.8,9.500000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.9,10.0,10.0,9.8,9.9,10.0,9.9,,,,,,,
28,10.1,9.700000000000001,10.0,9.9,10.0,10.1,10.0,23.300000000000082,14.099999999999985,12.99999999999999,9.9,9.700000000000001,9.9,10.0,9.9,14.599999999999984,9.9,9.9,10.0,15.999999999999979,9.9,10.1,10.0,9.9,10.0,13.899999999999986,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.9,9.8,9.9,9.8,9.500000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.9,10.0,10.0,9.8,9.9,10.0,9.9,9.9,,,,,,
29,10.1,9.600000000000001,10.0,9.9,10.0,10.1,10.0,23.500000000000085,14.299999999999985,12.99999999999999,9.9,9.700000000000001,9.9,10.0,9.8,14.999999999999982,9.9,9.9,10.0,15.999999999999979,9.9,10.1,10.0,9.9,10.0,13.899999999999986,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.9,9.8,9.9,9.8,9.500000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.9,10.0,10.0,9.8,9.9,10.0,9.9,9.8,,,,,,
30,10.1,9.600000000000001,10.0,9.9,10.0,10.1,10.0,24.200000000000095,14.899999999999983,13.199999999999989,9.9,9.700000000000001,9.9,10.0,9.8,15.199999999999982,9.9,9.9,10.0,15.899999999999979,9.8,10.1,10.0,9.9,10.0,14.099999999999985,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.9,9.8,9.9,9.8,9.500000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.8,10.0,10.0,9.8,9.9,10.0,9.9,9.8,10.0,9.9,,,,
31,10.1,9.600000000000001,10.0,9.9,10.0,10.1,10.0,24.800000000000104,15.099999999999982,13.599999999999987,9.9,9.700000000000001,9.9,10.0,9.8,15.199999999999982,9.9,9.9,10.0,16.09999999999998,9.700000000000001,10.1,10.0,9.9,9.9,14.099999999999985,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.9,9.8,9.9,9.8,9.400000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.8,10.0,10.0,9.8,9.9,10.0,9.9,9.8,10.0,9.8,10.0,,,
32,10.1,9.600000000000001,10.0,9.9,10.0,10.1,10.0,25.000000000000107,15.199999999999982,13.599999999999987,9.9,9.700000000000001,9.9,10.0,9.8,15.49999999999998,9.8,9.9,10.0,16.09999999999998,9.700000000000001,10.1,10.0,9.9,9.9,14.099999999999985,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.8,9.8,9.9,9.8,9.400000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.8,10.0,10.0,9.8,9.9,10.0,9.9,9.8,10.0,9.8,9.9,,,
33,10.1,9.500000000000002,10.0,9.9,10.0,10.1,10.0,25.700000000000117,15.79999999999998,13.799999999999986,9.9,9.700000000000001,9.9,10.0,9.8,15.69999999999998,9.8,9.9,10.0,15.99999999999998,9.700000000000001,10.0,10.0,9.9,9.9,14.299999999999985,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.8,9.8,9.9,9.8,9.400000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.8,10.0,10.0,9.8,9.9,10.0,9.9,9.8,10.0,9.8,9.9,10.0,9.9,
34,10.1,9.500000000000002,10.0,9.9,10.0,10.1,10.0,26.400000000000126,15.999999999999979,14.299999999999985,10.0,9.700000000000001,10.0,10.0,9.8,15.69999999999998,9.8,9.9,10.0,16.19999999999998,9.700000000000001,10.0,10.0,9.9,9.9,14.299999999999985,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.8,9.8,9.9,9.8,9.400000000000002,9.9,10.0,9.9,10.0,10.0,9.8,10.0,9.9,10.0,9.9,10.0,9.8,10.0,10.0,9.8,9.9,10.0,9.9,9.8,10.0,9.8,9.9,10.0,9.9,10.1
