Line,{'+definite'} - False,{'-definite'} - False,"{'+atomic', '+minimal'} - True","{'-atomic', '+minimal'} - True","{'-minimal', '-atomic'} - True"
0,10.1,10.0,10.1,10.0,10.0
1,10.0,10.0,10.1,10.0,9.9
2,9.9,10.0,10.1,9.9,9.9
3,9.9,10.1,10.2,9.9,9.9
4,9.8,10.1,10.1,9.9,9.9
5,9.700000000000001,10.1,10.1,9.9,9.8
6,9.600000000000001,10.1,10.1,9.8,9.8
7,9.600000000000001,10.0,10.0,9.8,9.8
8,9.500000000000002,10.0,9.9,9.8,9.8
9,9.400000000000002,10.0,9.9,9.8,9.700000000000001
10,9.300000000000002,10.0,9.9,9.700000000000001,9.700000000000001
11,9.300000000000002,9.9,9.8,9.700000000000001,9.700000000000001
12,9.200000000000003,9.9,9.700000000000001,9.700000000000001,9.700000000000001
13,9.100000000000003,9.9,9.700000000000001,9.700000000000001,9.600000000000001
14,9.000000000000004,9.9,9.700000000000001,9.600000000000001,9.600000000000001
15,9.000000000000004,10.0,9.8,9.600000000000001,9.600000000000001
16,8.900000000000004,10.0,9.700000000000001,9.600000000000001,9.600000000000001
17,8.800000000000004,10.0,9.700000000000001,9.600000000000001,9.500000000000002
18,8.700000000000005,10.0,9.700000000000001,9.500000000000002,9.500000000000002
19,8.700000000000005,9.9,9.600000000000001,9.500000000000002,9.500000000000002
20,8.600000000000005,9.9,9.500000000000002,9.500000000000002,9.500000000000002
21,8.500000000000005,9.9,9.500000000000002,9.500000000000002,9.400000000000002
22,8.600000000000005,9.9,9.500000000000002,9.600000000000001,9.400000000000002
23,8.600000000000005,9.8,9.400000000000002,9.600000000000001,9.400000000000002
24,8.500000000000005,9.8,9.300000000000002,9.600000000000001,9.400000000000002
25,8.400000000000006,9.8,9.300000000000002,9.600000000000001,9.300000000000002
26,8.500000000000005,9.8,9.300000000000002,9.700000000000001,9.300000000000002
27,8.500000000000005,9.9,9.400000000000002,9.700000000000001,9.300000000000002
28,8.400000000000006,9.9,9.300000000000002,9.700000000000001,9.300000000000002
29,8.300000000000006,9.9,9.300000000000002,9.700000000000001,9.200000000000003
30,8.200000000000006,9.9,9.300000000000002,9.600000000000001,9.200000000000003
31,8.200000000000006,9.8,9.200000000000003,9.600000000000001,9.200000000000003
32,8.100000000000007,9.8,9.100000000000003,9.600000000000001,9.200000000000003
33,8.000000000000007,9.8,9.100000000000003,9.600000000000001,9.100000000000003
34,7.9000000000000075,9.8,9.100000000000003,9.500000000000002,9.100000000000003
35,7.9000000000000075,9.700000000000001,9.000000000000004,9.500000000000002,9.100000000000003
36,7.800000000000008,9.700000000000001,8.900000000000004,9.500000000000002,9.100000000000003
37,7.700000000000008,9.700000000000001,8.900000000000004,9.500000000000002,9.000000000000004
38,7.6000000000000085,9.700000000000001,8.900000000000004,9.400000000000002,9.000000000000004
39,7.6000000000000085,9.600000000000001,8.800000000000004,9.400000000000002,9.000000000000004
40,7.500000000000009,9.600000000000001,8.700000000000005,9.400000000000002,9.000000000000004
41,7.400000000000009,9.600000000000001,8.700000000000005,9.400000000000002,8.900000000000004
42,7.30000000000001,9.600000000000001,8.700000000000005,9.300000000000002,8.900000000000004
43,7.30000000000001,9.500000000000002,8.600000000000005,9.300000000000002,8.900000000000004
44,7.20000000000001,9.500000000000002,8.500000000000005,9.300000000000002,8.900000000000004
45,7.10000000000001,9.500000000000002,8.500000000000005,9.300000000000002,8.800000000000004
46,7.20000000000001,9.500000000000002,8.500000000000005,9.400000000000002,8.800000000000004
47,7.20000000000001,9.400000000000002,8.400000000000006,9.400000000000002,8.800000000000004
48,7.10000000000001,9.400000000000002,8.300000000000006,9.400000000000002,8.800000000000004
49,7.20000000000001,9.400000000000002,8.300000000000006,9.400000000000002,8.900000000000004
50,7.10000000000001,9.400000000000002,8.300000000000006,9.300000000000002,8.900000000000004
51,7.10000000000001,9.500000000000002,8.400000000000006,9.300000000000002,8.900000000000004
52,7.000000000000011,9.500000000000002,8.300000000000006,9.300000000000002,8.900000000000004
53,6.900000000000011,9.500000000000002,8.300000000000006,9.300000000000002,8.800000000000004
54,6.800000000000011,9.500000000000002,8.300000000000006,9.200000000000003,8.800000000000004
55,6.800000000000011,9.400000000000002,8.200000000000006,9.200000000000003,8.800000000000004
56,6.700000000000012,9.400000000000002,8.100000000000007,9.200000000000003,8.800000000000004
57,6.600000000000012,9.400000000000002,8.100000000000007,9.200000000000003,8.700000000000005
58,6.500000000000012,9.400000000000002,8.100000000000007,9.100000000000003,8.700000000000005
59,6.500000000000012,9.300000000000002,8.000000000000007,9.100000000000003,8.700000000000005
60,6.400000000000013,9.300000000000002,7.9000000000000075,9.100000000000003,8.700000000000005
61,6.300000000000013,9.300000000000002,7.9000000000000075,9.100000000000003,8.600000000000005
62,6.400000000000013,9.300000000000002,7.9000000000000075,9.200000000000003,8.600000000000005
63,6.400000000000013,9.200000000000003,7.800000000000008,9.200000000000003,8.600000000000005
64,6.300000000000013,9.200000000000003,7.700000000000008,9.200000000000003,8.600000000000005
65,6.2000000000000135,9.200000000000003,7.700000000000008,9.200000000000003,8.500000000000005
66,6.100000000000014,9.200000000000003,7.700000000000008,9.100000000000003,8.500000000000005
67,6.100000000000014,9.100000000000003,7.6000000000000085,9.100000000000003,8.500000000000005
68,6.2000000000000135,9.100000000000003,7.700000000000008,9.100000000000003,8.500000000000005
69,6.100000000000014,9.100000000000003,7.700000000000008,9.100000000000003,8.400000000000006
70,6.000000000000014,9.100000000000003,7.700000000000008,9.000000000000004,8.400000000000006
71,6.000000000000014,9.000000000000004,7.6000000000000085,9.000000000000004,8.400000000000006
72,5.900000000000015,9.000000000000004,7.500000000000009,9.000000000000004,8.400000000000006
73,6.000000000000014,9.000000000000004,7.500000000000009,9.000000000000004,8.500000000000005
74,5.900000000000015,9.000000000000004,7.500000000000009,8.900000000000004,8.500000000000005
75,5.900000000000015,8.900000000000004,7.400000000000009,8.900000000000004,8.500000000000005
76,5.800000000000015,8.900000000000004,7.30000000000001,8.900000000000004,8.500000000000005
77,5.700000000000015,8.900000000000004,7.30000000000001,8.900000000000004,8.400000000000006
78,5.600000000000016,8.900000000000004,7.30000000000001,8.800000000000004,8.400000000000006
79,5.600000000000016,8.800000000000004,7.20000000000001,8.800000000000004,8.400000000000006
80,5.500000000000016,8.800000000000004,7.10000000000001,8.800000000000004,8.400000000000006
81,5.400000000000016,8.800000000000004,7.10000000000001,8.800000000000004,8.300000000000006
82,5.300000000000017,8.800000000000004,7.10000000000001,8.700000000000005,8.300000000000006
83,5.300000000000017,8.700000000000005,7.000000000000011,8.700000000000005,8.300000000000006
84,5.200000000000017,8.700000000000005,6.900000000000011,8.700000000000005,8.300000000000006
85,5.100000000000017,8.700000000000005,6.900000000000011,8.700000000000005,8.200000000000006
86,5.000000000000018,8.700000000000005,6.900000000000011,8.600000000000005,8.200000000000006
87,5.000000000000018,8.600000000000005,6.800000000000011,8.600000000000005,8.200000000000006
88,4.900000000000018,8.600000000000005,6.700000000000012,8.600000000000005,8.200000000000006
89,4.8000000000000185,8.600000000000005,6.700000000000012,8.600000000000005,8.100000000000007
90,4.700000000000019,8.600000000000005,6.700000000000012,8.500000000000005,8.100000000000007
91,4.700000000000019,8.500000000000005,6.600000000000012,8.500000000000005,8.100000000000007
92,4.600000000000019,8.500000000000005,6.500000000000012,8.500000000000005,8.100000000000007
93,4.5000000000000195,8.500000000000005,6.500000000000012,8.500000000000005,8.000000000000007
94,4.40000000000002,8.500000000000005,6.500000000000012,8.400000000000006,8.000000000000007
